"Pollster","Date","Sample Size","Stratification","Methodology","Fieldwork Start","Fieldwork End","PS - Partido Socialista","AD - Aliança Democrática","BE - Bloco de Esquerda","PCP-PEV - Coligação Democrática Unitária","PAN - Pessoas-Animais-Natureza","A - Aliança","L - Livre","Liberal - Iniciativa Liberal","Chega - Chega","Outros - Outros/Brancos/Nulos","PSD - Partido Social Democrata","CDS-PP - Partido Popular","PAF - PSD/CDS - Portugal à Frente (2015)"
"Eurosondagem","02/09/2015","1040","Aleatória, estratificada por região","['Telefónica']","27/08/2015","2/09/2015","36.0","","4.6","10.4","","","","","","14.0","","","35.0"
"Eurosondagem","04/08/2015","1030","Aleatória, estratificada por região","['Telefónica']","29/07/2015","4/08/2015","36.3","","5.0","10.0","","","","","","13.9","","","34.8"
"Aximage","16/07/2015","607","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","12/07/2015","16/07/2015","39.0","","4.1","7.7","","","","","","10.4","","","38.8"
"Eurosondagem","07/07/2015","1025","Aleatória, estratificada por região","['Telefónica']","2/07/2015","7/07/2015","36.7","","4.8","10.2","","","","","","13.7","","","34.6"
"Intercampus","04/07/2015","1014","Amostra por quotas de sexo, idade e região","['Telefónica']","26/06/2015","4/07/2015","37.6","","6.0","11.0","","","","","","12.6","","","32.7"
"CESOP-U.Católica","16/06/2015","1048","Freguesias-tipo","['Telefónica']","13/06/2015","16/06/2015","37.0","","8.0","10.0","","","","","","7.0","","","38.0"
"Eurosondagem","09/06/2015","1030","Aleatória, estratificada por região","['Telefónica']","4/06/2015","9/06/2015","36.9","","4.5","10.5","","","","","","14.8","","","33.3"
"Aximage","04/06/2015","598","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","31/05/2015","4/06/2015","39.0","","4.1","7.7","","","","","","11.1","","","38.2"
"Eurosondagem","12/05/2015","1021","Aleatória, estratificada por região","['Telefónica']","8/05/2015","12/05/2015","38.1","","4.8","10.3","","","","","","13.2","","","33.6"
"Aximage","10/05/2015","605","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","7/05/2015","10/05/2015","37.9","","4.3","7.8","","","","","","12.3","","","37.8"
"Eurosondagem","15/04/2015","1025","Aleatória, estratificada por região","['Telefónica']","9/04/2015","15/04/2015","37.5","","4.3","10.2","","","","","","13.3","26.7","8.0",""
"Aximage","08/04/2015","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","4/04/2015","8/04/2015","37.3","","3.5","9.3","","","","","","12.9","30.8","6.1",""
"Eurosondagem","10/03/2015","1005","Aleatória, estratificada por região","['Telefónica']","5/03/2015","10/03/2015","38.1","","4.4","9.6","","","2.1","","","12.5","25.2","8.1",""
"Eurosondagem","25/02/2015","1515","Aleatória, estratificada por região","['Telefónica']","18/02/2015","25/02/2015","36.5","","4.4","10.0","","","","","","13.6","27.8","7.7",""
"Eurosondagem","11/02/2015","1015","Aleatória, estratificada por região","['Telefónica']","5/02/2015","11/02/2015","38.1","","4.0","9.0","","","","","","15.3","26.7","6.9",""
"Aximage","08/02/2015","608","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","4/02/2015","8/02/2015","37.3","","3.9","9.3","","","","","","13.5","30.7","5.4",""
"Eurosondagem","14/01/2015","1010","Aleatória, estratificada por região","['Telefónica']","8/01/2015","14/01/2015","37.9","","3.5","9.3","","","","","","14.5","26.9","7.9",""
"Aximage","12/01/2015","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","9/01/2015","12/01/2015","37.7","","3.6","7.9","","","","","","14.6","31.5","4.8",""
"Eurosondagem","10/12/2014","1036","Aleatória, estratificada por região","['Telefónica']","4/12/2014","10/12/2014","37.5","","3.3","10.1","","","","","","16.6","25.2","7.3",""
"Aximage","04/12/2014","607","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de cerca de 22.000 nomes","['Telefónica']","1/12/2014","4/12/2014","37.8","","5.3","7.7","","","","","","12.7","31.3","5.2",""
"Eurosondagem","11/11/2014","1022","Aleatória, estratificada por região","['Telefónica']","6/11/2014","11/11/2014","36.9","","3.6","10.4","","","","","","16.1","25.3","7.7",""
"Aximage","10/11/2014","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de 30.000 nomes","['Telefónica']","7/11/2014","10/11/2014","38.7","","6.0","7.9","","","","","","10.8","31.3","5.2",""
"CESOP-U.Católica","13/10/2014","1064","Freguesias-tipo","[]","11/10/2014","13/10/2014","45.0","","4.0","10.0","","","","","","9.0","28.0","4.0",""
"Eurosondagem","07/10/2014","1021","Aleatória, estratificada por região","['Telefónica']","2/10/2014","7/10/2014","34.8","","4.0","10.5","","","","","","16.5","26.2","8.0",""
"Aximage","04/10/2014","609","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de 30.000 nomes","['Telefónica']","1/10/2014","4/10/2014","40.4","","7.7","9.2","","","","","","9.0","27.5","6.1",""
"Eurosondagem","09/09/2014","1011","Aleatória, estratificada por região","['Telefónica']","4/09/2014","9/09/2014","33.0","","4.3","10.7","","","","","","16.5","28.0","7.5",""
"Aximage","03/09/2014","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de 30.000 nomes","['Telefónica']","03/09/2014","03/09/2014","30.9","","5.7","11.9","","","","","","14.4","28.6","8.4",""
"Eurosondagem","06/08/2014","1033","Aleatória, estratificada por região","['Telefónica']","06/08/2014","06/08/2014","32.1","","4.5","11.0","","","","","","17.6","27.8","7.0",""
"Pitagórica","31/07/2014","504","Amostra por quotas de sexo e idade","['Telefónica']","25/07/2014","31/07/2014","30.0","","4.2","12.7","","","","","","18.1","28.1","6.9",""
"Eurosondagem","09/07/2014","1014","Aleatória, estratificada por região","['Telefónica']","3/07/2014","9/07/2014","32.5","","4.9","11.1","","","","","","17.4","27.5","6.6",""
"Aximage","07/07/2014","593","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de 30.000 nomes","['Telefónica']","4/07/2014","7/07/2014","31.0","","6.9","10.7","","","","","","15.9","27.2","8.3",""
"Eurosondagem","05/06/2014","1025","Aleatória, estratificada por região","['Telefónica']","2/06/2014","5/06/2014","33.0","","4.8","11.8","","","","","","17.4","26.1","6.9",""
"Aximage","04/06/2014","608","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo a partir de um Painel de 30.000 nomes","['Telefónica']","1/06/2014","4/06/2014","32.0","","6.0","13.0","","","","","","16.3","24.9","7.8",""
"Pitagórica","01/06/2014","506","Amostra por quotas de sexo e idade","['Telefónica']","01/06/2014","01/06/2014","30.6","","4.8","14.4","","","","","","15.9","28.0","6.3",""
"Intercampus","24/05/2014","4004","Amostra por quotas de sexo, idade e região","['Telefónica']","19/05/2014","24/05/2014","29.1","","5.4","11.4","","","","","","23.0","28.7","2.4",""
"Eurosondagem","07/05/2014","1005","Aleatória, estratificada por região","['Telefónica']","1/05/2014","7/05/2014","38.0","","6.6","10.4","","","","","","10.0","26.9","8.1",""
"Aximage","05/05/2014","605","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo","['Telefónica']","2/05/2014","5/05/2014","36.2","","6.6","10.5","","","","","","9.3","30.5","6.8",""
"CESOP-U.Católica","14/04/2014","1117","Freguesias-tipo","['Telefónica']","12/04/2014","14/04/2014","36.0","","7.0","12.0","","","","","","11.0","30.0","4.0",""
"Aximage","12/04/2014","613","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, atividade e voto legislativo","['Telefónica']","9/04/2014","12/04/2014","36.6","","6.5","12.0","","","","","","6.7","32.0","6.2",""
"Eurosondagem","09/04/2014","1011","Aleatória, estratificada por região","['Telefónica']","3/04/2014","9/04/2014","37.3","","7.5","10.9","","","","","","11.0","25.2","8.1",""
"Pitagórica","30/03/2014","506","Quotas por distrito e voto legislativo","['Telefónica']","25/03/2014","30/03/2014","39.0","","6.9","10.3","","","","","","8.6","27.6","7.6",""
"Eurosondagem","12/03/2014","1021","Aleatória, estratificada por região","['Telefónica']","6/03/2014","12/03/2014","36.6","","6.9","11.1","","","","","","10.4","26.6","8.4",""
"Aximage","11/03/2014","587","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","8/03/2014","11/03/2014","37.0","","5.4","11.8","","","","","","6.5","33.5","5.7",""
"Pitagórica","01/03/2014","506","Quotas por distrito e voto legislativo","['Telefónica']","24/02/2014","1/03/2014","37.2","","4.9","10.5","","","","","","10.2","28.4","8.7",""
"Aximage","12/02/2014","604","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","9/02/2014","12/02/2014","38.9","","5.8","9.9","","","","","","7.9","32.0","5.5",""
"Eurosondagem","12/02/2014","1025","Aleatória, estratificada por região","['Telefónica']","6/02/2014","12/02/2014","36.9","","7.0","10.5","","","","","","12.3","25.6","7.7",""
"Pitagórica","24/01/2014","506","Quotas por distrito e voto legislativo","['Telefónica']","20/01/2014","24/01/2014","37.8","","6.6","11.4","","","","","","10.6","25.8","7.8",""
"Eurosondagem","15/01/2014","1010","Aleatória, estratificada por região","['Telefónica']","9/01/2014","15/01/2014","37.5","","6.6","10.4","","","","","","12.5","25.0","8.0",""
"Aximage","10/01/2014","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","7/01/2014","10/01/2014","39.3","","6.4","9.4","","","","","","7.7","31.3","5.9",""
"Pitagórica","15/12/2013","503","Quotas por distrito e voto legislativo","['Telefónica']","10/12/2013","15/12/2013","36.7","","6.7","11.2","","","","","","10.7","25.7","9.0",""
"Eurosondagem","10/12/2013","1035","Aleatória, estratificada por região","['Telefónica']","5/12/2013","10/12/2013","36.5","","6.5","10.0","","","","","","12.0","26.5","8.5",""
"Aximage","09/12/2013","609","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","6/12/2013","9/12/2013","37.0","","6.4","9.9","","","","","","8.1","30.1","8.4",""
"Marktest","21/11/2013","800","Aleatória, quotas de sexo, idade e região","['Telefónica']","19/11/2013","21/11/2013","35.6","","6.5","17.2","","","","","","13.6","25.6","1.5",""
"Aximage","09/11/2013","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","6/11/2013","9/11/2013","37.4","","6.9","10.4","","","","","","7.0","28.8","9.5",""
"Eurosondagem","05/11/2013","1005","Aleatória, estratificada por região","['Telefónica']","30/10/2013","5/11/2013","37.3","","5.9","11.1","","","","","","11.7","25.6","8.4",""
"Marktest","25/10/2013","803","Aleatória, quotas de sexo, idade e região","['Telefónica']","22/10/2013","25/10/2013","35.8","","5.5","16.6","","","","","","13.6","26.2","2.3",""
"Pitagórica","19/10/2013","506","Quotas por distrito e voto legislativo","['Telefónica']","14/10/2013","19/10/2013","36.7","","6.6","13.2","","","","","","11.2","23.7","8.6",""
"Eurosondagem","08/10/2013","1010","Aleatória, estratificada por região","['Telefónica']","2/10/2013","8/10/2013","36.5","","5.9","12.1","","","","","","10.0","26.9","8.6",""
"Intercampus","29/09/2013","1000","Aleatória, estratificada por sexo","['Telefónica']","29/09/2013","29/09/2013","39.0","","7.0","11.0","","","","","","12.0","27.0","4.0",""
"Marktest","19/09/2013","801","Aleatória, quotas de sexo, idade e região","['Telefónica']","17/09/2013","19/09/2013","36.6","","7.3","11.5","","","","","","13.6","28.5","2.5",""
"Eurosondagem","11/09/2013","1038","Aleatória, estratificada por região","['Telefónica']","5/09/2013","11/09/2013","38.0","","6.5","12.5","","","","","","10.0","26.5","6.5",""
"Aximage","03/09/2013","609","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","1/09/2013","3/09/2013","36.5","","6.8","12.2","","","","","","7.7","29.0","7.9",""
"Eurosondagem","31/07/2013","1020","Aleatória, estratificada por região","['Telefónica']","25/07/2013","31/07/2013","37.4","","7.5","12.5","","","","","","10.5","24.4","7.7",""
"CESOP-U.Católica","29/07/2013","1096","Freguesias-tipo","['Telefónica']","27/07/2013","29/07/2013","35.0","","7.0","11.0","","","","","","12.0","32.0","3.0",""
"Pitagórica","28/07/2013","507","Quotas por distrito e voto legislativo","['Telefónica']","24/07/2013","28/07/2013","34.6","","8.7","13.1","","","","","","11.5","24.1","8.1",""
"Marktest","18/07/2013","804","Aleatória, quotas de sexo, idade e região","['Telefónica']","16/07/2013","18/07/2013","34.2","","8.6","10.8","","","","","","13.6","27.6","5.2",""
"Aximage","11/07/2013","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","8/07/2013","11/07/2013","38.6","","6.9","10.8","","","","","","8.7","28.9","6.0",""
"Eurosondagem","10/07/2013","1007","Aleatória, estratificada por região","['Telefónica']","5/07/2013","10/07/2013","37.0","","8.0","12.0","","","","","","10.0","25.0","8.0",""
"Pitagórica","02/07/2013","503","Quotas por distrito e voto legislativo","['Telefónica']","02/07/2013","02/07/2013","33.9","","8.9","13.2","","","","","","11.2","23.7","9.1",""
"Aximage","07/06/2013","599","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","4/06/2013","7/06/2013","36.7","","8.7","11.9","","","","","","9.0","24.0","9.7",""
"Eurosondagem","04/06/2013","1028","Aleatória, estratificada por região","['Telefónica']","30/05/2013","4/06/2013","36.9","","8.0","13.0","","","","","","9.6","24.8","7.7",""
"Marktest","30/05/2013","802","Aleatória, quotas de sexo, idade e região","['Telefónica']","27/05/2013","30/05/2013","34.6","","8.2","13.1","","","","","","13.6","25.0","5.6",""
"Pitagórica","28/05/2013","506","Quotas por distrito e voto legislativo","['Telefónica']","23/05/2013","28/05/2013","32.7","","9.4","12.6","","","","","","10.4","25.4","9.5",""
"Aximage","10/05/2013","604","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","7/05/2013","10/05/2013","37.1","","6.7","9.8","","","","","","9.1","27.4","9.9",""
"Eurosondagem","08/05/2013","1009","Aleatória, estratificada por região","['Telefónica']","2/05/2013","8/05/2013","36.0","","8.8","12.1","","","","","","8.8","25.9","8.4",""
"Pitagórica","20/04/2013","503","Quotas por distrito e voto legislativo","['Telefónica']","17/04/2013","20/04/2013","28.6","","8.7","12.8","","","","","","11.0","26.9","12.0",""
"Eurosondagem","10/04/2013","1025","Aleatória, estratificada por região","['Telefónica']","5/04/2013","10/04/2013","35.0","","8.5","12.5","","","","","","17.5","26.5","8.5",""
"Aximage","04/04/2013","601","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","[]","1/04/2013","4/04/2013","33.9","","8.1","12.5","","","","","","9.4","26.3","9.8",""
"Pitagórica","24/03/2013","503","Quotas por distrito e voto legislativo","['Telefónica']","19/03/2013","24/03/2013","36.7","","7.9","11.2","","","","","","7.9","25.7","10.6",""
"CESOP-U.Católica","11/03/2013","949","Freguesias-tipo","[]","9/03/2013","11/03/2013","31.0","","8.0","12.0","","","","","","16.0","28.0","5.0",""
"Aximage","06/03/2013","607","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","4/03/2013","6/03/2013","32.5","","7.3","12.5","","","","","","9.5","25.8","12.4",""
"Eurosondagem","05/03/2013","1022","Aleatória, estratificada por região","['Telefónica']","28/02/2013","5/03/2013","35.2","","8.0","12.1","","","","","","8.7","27.0","9.0",""
"Pitagórica","24/02/2013","503","Quotas por distrito e voto legislativo","['Telefónica']","20/02/2013","24/02/2013","35.1","","8.6","10.7","","","","","","8.4","26.4","10.7",""
"Aximage","08/02/2013","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","5/02/2013","8/02/2013","32.7","","6.4","11.7","","","","","","10.5","29.7","8.9",""
"Eurosondagem","05/02/2013","1011","Aleatória, estratificada por região","['Telefónica']","30/01/2013","5/02/2013","34.1","","8.4","11.6","","","","","","8.8","27.6","9.5",""
"Pitagórica","25/01/2013","504","Quotas por distrito e voto legislativo","['Telefónica']","22/01/2013","25/01/2013","33.8","","8.0","12.0","","","","","","7.5","28.6","10.2",""
"Marktest","21/01/2013","803","Aleatória, quotas de sexo, idade e região","['Telefónica']","15/01/2013","21/01/2013","32.6","","13.3","12.4","","","","","","8.6","27.9","5.2",""
"Aximage","09/01/2013","603","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","6/01/2013","9/01/2013","33.7","","7.6","12.1","","","","","","9.0","27.0","10.6",""
"Eurosondagem","08/01/2013","1010","Aleatória, estratificada por região","['Telefónica']","3/01/2013","8/01/2013","34.3","","8.8","10.3","","","","","","10.1","26.9","9.6",""
"Pitagórica","18/12/2012","511","Quotas por distrito e voto legislativo","['Telefónica']","13/12/2012","18/12/2012","34.6","","8.4","11.2","","","","","","5.4","29.0","11.4",""
"Eurosondagem","14/12/2012","1034","Aleatória, estratificada por região","['Telefónica']","5/12/2012","11/12/2012","34.0","","9.0","11.0","","","","","","9.6","26.4","10.0",""
"Aximage","07/12/2012","609","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","4/12/2012","7/12/2012","32.9","","7.6","11.0","","","","","","9.6","29.8","8.0",""
"Pitagórica","16/11/2012","505","Quotas por distrito e voto legislativo","['Telefónica']","9/11/2012","16/11/2012","36.2","","7.5","9.8","","","","","","10.2","26.4","9.8",""
"Eurosondagem","13/11/2012","1033","Aleatória, estratificada por região","['Telefónica']","7/11/2012","13/11/2012","35.0","","9.5","10.0","","","","","","8.5","26.9","10.1",""
"Aximage","06/11/2012","602","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","30/10/2012","6/11/2012","33.9","","7.9","10.1","","","","","","12.0","27.7","8.3",""
"Pitagórica","13/10/2012","503","Quotas por distrito e voto legislativo","['Telefónica']","8/10/2012","13/10/2012","34.1","","7.2","9.1","","","","","","11.7","29.5","8.3",""
"Eurosondagem","09/10/2012","1021","Aleatória, estratificada por região","['Telefónica']","4/10/2012","9/10/2012","34.8","","7.7","9.5","","","","","","8.0","30.0","10.0",""
"Aximage","04/10/2012","604","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","1/10/2012","4/10/2012","36.6","","7.6","10.3","","","","","","9.8","27.1","8.6",""
"Marktest","20/09/2012","805","Aleatória, quotas de sexo, idade e região","['Telefónica']","17/09/2012","20/09/2012","29.6","","8.6","10.1","","","","","","26.3","20.2","5.2",""
"CESOP-U.Católica","17/09/2012","1132","Freguesias-tipo","[]","15/09/2012","17/09/2012","31.0","","11.0","13.0","","","","","","3.0","24.0","7.0",""
"Eurosondagem","13/09/2012","1037","Aleatória, estratificada por região","[]","10/09/2012","13/09/2012","33.7","","7.0","9.3","","","","","","6.7","33.0","10.3",""
"Aximage","06/09/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","3/09/2012","6/09/2012","37.0","","5.5","8.0","","","","","","7.3","34.8","7.4",""
"Eurosondagem","14/08/2012","1011","Aleatória, estratificada por região","['Telefónica']","9/08/2012","14/08/2012","33.0","","6.6","8.8","","","","","","7.4","34.1","10.1",""
"Marktest","20/07/2012","803","Aleatória, quotas de sexo, idade e região","['Telefónica']","17/07/2012","20/07/2012","25.8","","6.9","9.9","","","","","","26.3","26.7","4.4",""
"Eurosondagem","10/07/2012","1036","Aleatória, estratificada por região","['Telefónica']","5/07/2012","10/07/2012","32.5","","6.9","8.7","","","","","","7.2","34.6","10.1",""
"Aximage","04/07/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","2/07/2012","4/07/2012","32.8","","5.7","8.3","","","","","","7.5","37.3","8.4",""
"Marktest","22/06/2012","800","Aleatória, quotas de sexo, idade e região","['Telefónica']","19/06/2012","22/06/2012","29.2","","5.4","9.5","","","","","","21.8","31.3","2.8",""
"Eurosondagem","12/06/2012","1022","Aleatória, estratificada por região","['Telefónica']","7/06/2012","12/06/2012","32.1","","6.4","9.0","","","","","","7.5","34.3","10.7",""
"Aximage","06/06/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","4/06/2012","6/06/2012","29.8","","5.3","10.7","","","","","","7.7","38.6","7.9",""
"CESOP-U.Católica","28/05/2012","1366","Freguesias-tipo","[]","26/05/2012","28/05/2012","33.0","","9.0","9.0","","","","","","7.0","36.0","6.0",""
"Eurosondagem","15/05/2012","1011","Aleatória, estratificada por região","['Telefónica']","10/05/2012","15/05/2012","31.2","","6.0","8.8","","","","","","7.6","34.8","11.6",""
"Aximage","05/05/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","2/05/2012","5/05/2012","31.2","","4.6","10.5","","","","","","7.7","39.2","6.7",""
"Marktest","20/04/2012","810","Aleatória, quotas de sexo, idade e região","['Telefónica']","17/04/2012","20/04/2012","25.4","","7.8","10.2","","","","","","21.6","31.4","3.6",""
"Eurosondagem","17/04/2012","1036","Aleatória, estratificada por região","['Telefónica']","11/04/2012","17/04/2012","30.5","","6.4","9.1","","","","","","8.0","35.3","10.7",""
"Aximage","05/04/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","3/04/2012","5/04/2012","30.0","","4.3","10.9","","","","","","7.8","37.7","9.4",""
"Marktest","23/03/2012","802","Aleatória, quotas de sexo, idade e região","['Telefónica']","19/03/2012","23/03/2012","20.5","","6.3","7.6","","","","","","23.9","36.5","5.2",""
"Eurosondagem","13/03/2012","1021","Aleatória, estratificada por região","['Telefónica']","8/03/2012","13/03/2012","29.6","","6.9","8.5","","","","","","7.0","36.0","12.0",""
"Aximage","07/03/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","5/03/2012","7/03/2012","33.6","","3.1","9.9","","","","","","7.7","38.8","7.0",""
"Marktest","22/02/2012","800","Aleatória, quotas de sexo, idade e região","['Telefónica']","14/02/2012","22/02/2012","25.9","","6.0","9.3","","","","","","24.7","30.2","3.9",""
"Eurosondagem","07/02/2012","1010","Aleatória, estratificada por região","['Telefónica']","2/02/2012","7/02/2012","30.0","","6.5","8.5","","","","","","8.3","35.0","11.7",""
"Aximage","04/02/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","1/02/2012","4/02/2012","31.7","","2.9","9.2","","","","","","7.5","39.3","9.3",""
"Marktest","21/01/2012","800","Aleatória, quotas de sexo, idade e região","['Telefónica']","17/01/2012","21/01/2012","25.2","","7.7","6.1","","","","","","19.4","37.6","4.0",""
"Eurosondagem","10/01/2012","1064","Aleatória, estratificada por região","['Telefónica']","5/01/2012","10/01/2012","30.3","","6.4","7.7","","","","","","7.1","36.4","12.1",""
"Aximage","06/01/2012","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","3/01/2012","6/01/2012","31.2","","2.6","11.1","","","","","","5.9","39.4","9.7",""
"Eurosondagem","13/12/2011","1033","Aleatória, estratificada por região","['Telefónica']","7/12/2011","13/12/2011","30.0","","6.4","8.8","","","","","","6.3","36.0","12.5",""
"Eurosondagem","15/11/2011","1025","Aleatória, estratificada por região","['Telefónica']","10/11/2011","15/11/2011","29.6","","6.1","9.0","","","","","","6.9","36.3","12.1",""
"Aximage","10/11/2011","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","7/11/2011","10/11/2011","27.7","","3.6","11.0","","","","","","5.3","42.6","9.8",""
"Eurosondagem","25/10/2011","1032","Aleatória, estratificada por região","['Telefónica']","20/10/2011","25/10/2011","29.2","","6.3","8.8","","","","","","6.3","36.9","12.5",""
"Marktest","22/10/2011","809","Aleatória, quotas de sexo, idade e região","[]","18/10/2011","22/10/2011","19.7","","4.2","10.5","","","","","","18.7","41.6","5.3",""
"Aximage","05/10/2011","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","3/10/2011","5/10/2011","26.9","","5.2","7.9","","","","","","7.1","42.5","10.5",""
"Eurosondagem","27/09/2011","1036","Aleatória, estratificada por região","['Telefónica']","22/09/2011","17/09/2011","28.2","","5.3","8.2","","","","","","6.9","39.3","12.1",""
"Marktest","23/09/2011","804","Aleatória, quotas de sexo, idade e região","['Telefónica']","20/09/2011","23/09/2011","23.3","","2.7","6.8","","","","","","16.1","47.1","4.0",""
"CESOP-U.Católica","11/09/2011","1457","Freguesias-tipo","[]","11/09/2011","11/09/2011","33.0","","6.0","7.0","","","","","","5.0","43.0","6.0",""
"Aximage","10/09/2011","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","7/09/2011","10/09/2011","26.8","","3.4","9.6","","","","","","8.8","43.7","7.6",""
"Eurosondagem","30/08/2011","1025","Aleatória, estratificada por região","['Telefónica']","26/08/2011","30/08/2011","26.9","","5.5","8.4","","","","","","7.1","39.6","12.5",""
"Eurosondagem","19/07/2011","1022","Aleatória, estratificada por região","['Telefónica']","14/07/2011","19/07/2011","26.3","","5.1","8.0","","","","","","7.5","40.0","13.1",""
"Aximage","08/07/2011","600","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","5/07/2011","8/07/2011","24.0","","5.9","7.5","","","","","","7.3","42.0","10.3",""
"Eurosondagem","28/06/2011","1010","Aleatória, estratificada por região","['Telefónica']","26/06/2011","28/06/2011","25.0","","4.8","7.7","","","","","","8.1","40.8","13.6",""
"Eurosondagem","02/06/2011","520","Tracking poll (resultados acumulados","['Telefónica']","02/06/2011","02/06/2011","31.0","","6.3","8.2","","","","","","6.0","35.5","13.0",""
"Aximage","02/06/2011","968","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","31/05/2011","2/06/2011","29.2","","6.7","8.0","","","","","","6.2","37.4","12.5",""
"Aximage","01/06/2011","1200","Aleatória, estratificada por região, habitat, sexo, idade, escolaridade, actividade e voto legislativo","['Telefónica']","29/05/2011","1/06/2011","30.1","","6.6","8.1","","","","","","6.5","36.3","12.4",""
"Intercampus","01/06/2011","1026","Aleatória","['Presencial']","28/05/2011","1/06/2011","31.1","","6.0","7.4","","","","","","7.3","36.5","11.6",""
"Eurosondagem","01/06/2011","507","Tracking poll (resultados acumulados","['Telefónica']","01/06/2011","01/06/2011","31.1","","5.9","7.8","","","","","","6.3","35.9","13.0",""
"Marktest","31/05/2011","1208","Aleatória, quotas de sexo, idade e região","['Telefónica']","28/05/2011","31/05/2011","30.1","","4.5","8.5","","","","","","8.8","38.5","9.7",""
"Eurosondagem","31/05/2011","503","Tracking poll (resultados acumulados","['Telefónica']","31/05/2011","31/05/2011","31.3","","6.0","7.9","","","","","","6.0","35.4","13.4",""
